グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
C43 4MATIC (23),588〜997万円,1300.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=42546/UCGrade=60867/,"Cクラスステーションワゴン 2022年モデル
                                        (37)",Cクラスステーションワゴン,2022年モデル,C43 4MATIC,AMG
C43 4MATIC (左ハンドル) (1),853.6万円,1300.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=42546/UCGrade=60868/,"Cクラスステーションワゴン 2022年モデル
                                        (37)",Cクラスステーションワゴン,2022年モデル,C43 4MATIC (左ハンドル),AMG
C63 S E PERFORMANCE (13),1044〜1460万円,1754.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=42546/UCGrade=64272/,"Cクラスステーションワゴン 2022年モデル
                                        (37)",Cクラスステーションワゴン,2022年モデル,C63 S E PERFORMANCE,AMG
C450 AMG 4MATIC STATIONWAGON (1),368.8万円,962.0,2996cc,5,4WD,7AT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=33098/,"Cクラスステーションワゴン 2015年モデル
                                        (31)",Cクラスステーションワゴン,2015年モデル,C450 AMG 4MATIC STATIONWAGON,AMG
C43 4MATIC STATIONWAGON (12),254〜675万円,1014.0,2996cc,5,4WD,9AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=35529/,"Cクラスステーションワゴン 2015年モデル
                                        (31)",Cクラスステーションワゴン,2015年モデル,C43 4MATIC STATIONWAGON,AMG
C43 4MATIC STATIONWAGON (左ハンドル) (6),319〜399万円,1014.0,2996cc,5,4WD,9AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=35530/,"Cクラスステーションワゴン 2015年モデル
                                        (31)",Cクラスステーションワゴン,2015年モデル,C43 4MATIC STATIONWAGON (左ハンドル),AMG
C63 STATIONWAGON (4),382〜799万円,1304.0,3982cc,5,FR,9AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=32225/,"Cクラスステーションワゴン 2015年モデル
                                        (31)",Cクラスステーションワゴン,2015年モデル,C63 STATIONWAGON,AMG
C63 S STATIONWAGON Edition1 (1),600.0万円,1465.0,3982cc,5,FR,7AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=33097/,"Cクラスステーションワゴン 2015年モデル
                                        (31)",Cクラスステーションワゴン,2015年モデル,C63 S STATIONWAGON Edition1,AMG
C63 S STATIONWAGON (7),339〜624万円,1475.0,3982cc,5,FR,9AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=32226/,"Cクラスステーションワゴン 2015年モデル
                                        (31)",Cクラスステーションワゴン,2015年モデル,C63 S STATIONWAGON,AMG
C63 STATIONWAGON (5),264〜700万円,1136.0,6208cc,5,FR,7AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=40960/UCGrade=21290/,"Cクラスステーションワゴン 2008年モデル
                                        (5)",Cクラスステーションワゴン,2008年モデル,C63 STATIONWAGON,AMG
C43 4MATIC (15),647〜997万円,1281.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=60865/,"Cクラスセダン 2022年モデル
                                        (34)",Cクラスセダン,2022年モデル,C43 4MATIC,AMG
C43 4MATIC (左ハンドル) (8),800〜938万円,1281.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=60866/,"Cクラスセダン 2022年モデル
                                        (34)",Cクラスセダン,2022年モデル,C43 4MATIC (左ハンドル),AMG
C63 S E PERFORMANCE (7),1046〜1372万円,1714.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=63934/,"Cクラスセダン 2022年モデル
                                        (34)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE,AMG
C63 S E PERFORMANCE (左ハンドル) (1),1189万円,1714.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=63935/,"Cクラスセダン 2022年モデル
                                        (34)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE (左ハンドル),AMG
C63 S E PERFORMANCE Edition Peak (1),1714万円,1824.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=67425/,"Cクラスセダン 2022年モデル
                                        (34)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE Edition Peak,AMG
C63 S E PERFORMANCE F1 Edition (1),1313万円,1835.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=64270/,"Cクラスセダン 2022年モデル
                                        (34)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE F1 Edition,AMG
C63 S E PERFORMANCE F1 Edition (左ハンドル) (1),1420万円,1835.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=64271/,"Cクラスセダン 2022年モデル
                                        (34)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE F1 Edition (左ハンドル),AMG
C450 AMG 4MATIC (3),338〜378万円,880.0,2996cc,5,4WD,7AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=33096/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C450 AMG 4MATIC,AMG
C43 4MATIC (50),220〜679万円,995.0,2996cc,5,4WD,9AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=35527/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C43 4MATIC,AMG
C43 4MATIC (左ハンドル) (1),465.9万円,995.0,2996cc,5,4WD,9AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=35528/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C43 4MATIC (左ハンドル),AMG
C63 (3),463〜515万円,1279.0,3982cc,5,FR,9AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=32221/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C63,AMG
C63 S Edition1 (1),550.0万円,1420.0,3982cc,5,FR,7AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=33094/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C63 S Edition1,AMG
C63 S (12),466〜830万円,1455.0,3982cc,5,FR,9AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=32223/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C63 S,AMG
C63 S (左ハンドル) (1),531.9万円,1455.0,3982cc,5,FR,9AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=32224/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C63 S (左ハンドル),AMG
C63 (7),200〜562万円,1116.0,6208cc,5,FR,7AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40958/UCGrade=21285/,"Cクラスセダン 2007年モデル
                                        (7)",Cクラスセダン,2007年モデル,C63,AMG
C32 (2),148〜211万円,913.0,−,−,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40957/UCGrade=21283/,"Cクラスセダン 2001年モデル
                                        (5)",Cクラスセダン,2001年モデル,C32,AMG
C55 (3),189〜219万円,966.0,5438cc,5,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40957/UCGrade=21284/,"Cクラスセダン 2001年モデル
                                        (5)",Cクラスセダン,2001年モデル,C55,AMG
CLA 45 S 4MATIC+ (28),494〜932万円,1062.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=50462/,"CLAクラス 2019年モデル
                                        (51)",CLAクラス,2019年モデル,CLA 45 S 4MATIC+,AMG
CLA 45 S 4MATIC+ Edition 55 (1),847.0万円,1128.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=60936/,"CLAクラス 2019年モデル
                                        (51)",CLAクラス,2019年モデル,CLA 45 S 4MATIC+ Edition 55,AMG
CLA 45 S 4MATIC+ Street Style Edition (2),898〜969万円,1186.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=64048/,"CLAクラス 2019年モデル
                                        (51)",CLAクラス,2019年モデル,CLA 45 S 4MATIC+ Street Style Edition,AMG
CLA 35 4MATIC (17),399〜819万円,866.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=51013/,"CLAクラス 2019年モデル
                                        (51)",CLAクラス,2019年モデル,CLA 35 4MATIC,AMG
CLA45 4MATIC (28),149〜302万円,798.0,1991cc,5,4WD,−,12km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=41704/UCGrade=28924/,"CLAクラス 2013年モデル
                                        (32)",CLAクラス,2013年モデル,CLA45 4MATIC,AMG
CLA 45 S 4MATIC+ Shooting Brake (24),464〜1037万円,1075.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=42314/UCGrade=50463/,"CLAクラスシューティングブレーク 2019年モデル
                                        (40)",CLAクラスシューティングブレーク,2019年モデル,CLA 45 S 4MATIC+ Shooting Brake,AMG
CLA 35 4MATIC シューティングブレーク (13),353〜849万円,876.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=42314/UCGrade=51014/,"CLAクラスシューティングブレーク 2019年モデル
                                        (40)",CLAクラスシューティングブレーク,2019年モデル,CLA 35 4MATIC シューティングブレーク,AMG
CLA45 4MATIC Shooting Brake (16),210〜313万円,814.0,1991cc,5,4WD,−,12km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=41901/UCGrade=33696/,"CLAクラスシューティングブレーク 2015年モデル
                                        (19)",CLAクラスシューティングブレーク,2015年モデル,CLA45 4MATIC Shooting Brake,AMG
G63 Edition Matt Black (7),1774〜2414万円,2363.0,3982cc,5,4WD,9AT,6km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=48711/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 Edition Matt Black,AMG
G63 STRONGER THAN TIME Edition (5),1590〜2340万円,2450.0,3982cc,5,4WD,9AT,6km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=51049/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 STRONGER THAN TIME Edition,AMG
G63 manufaktur Edition (14),1810〜2800万円,2480.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=52352/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 manufaktur Edition,AMG
G63 Edition 55 (3),2281〜2607万円,2750.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59932/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 Edition 55,AMG
G63 Edition 55 (左ハンドル) (7),2232〜2558万円,2750.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59933/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 Edition 55 (左ハンドル),AMG
G63 Magno Hero Edition (4),2330〜2450万円,2860.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59934/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 Magno Hero Edition,AMG
G63 Magno Hero Edition (左ハンドル) (12),2386〜2745万円,2860.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59935/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 Magno Hero Edition (左ハンドル),AMG
G63 Grand Edition (10),2646〜3365万円,3200.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=64615/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 Grand Edition,AMG
G63 Grand Edition (左ハンドル) (3),2790〜2913万円,3200.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=64616/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 Grand Edition (左ハンドル),AMG
G63 (70),1591〜3370万円,2849.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=45882/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63,AMG
G63 (左ハンドル) (75),1588〜3780万円,2849.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=45881/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 (左ハンドル),AMG
G63 Launch Edition (15),2780〜3846万円,3080.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=65708/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 Launch Edition,AMG
G63 Launch Edition (左ハンドル) (10),2802〜3200万円,3080.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=65709/,"Gクラス 2018年モデル
                                        (294)",Gクラス,2018年モデル,G63 Launch Edition (左ハンドル),AMG
G55 Long 4WD (5),460〜788万円,1480.0,−,−,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=17275/,"Gクラス 1995年モデル
                                        (58)",Gクラス,1995年モデル,G55 Long 4WD,AMG
G55 Long (左ハンドル) (7),478〜780万円,1533.0,−,−,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=17276/,"Gクラス 1995年モデル
                                        (58)",Gクラス,1995年モデル,G55 Long (左ハンドル),AMG
G55 Long (2),668〜788万円,1780.0,5438cc,5,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=23686/,"Gクラス 1995年モデル
                                        (58)",Gクラス,1995年モデル,G55 Long,AMG
G63 (1),1435万円,1971.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=37410/,"Gクラス 1995年モデル
                                        (58)",Gクラス,1995年モデル,G63,AMG
G63 (左ハンドル) (28),799〜2313万円,1971.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=25738/,"Gクラス 1995年モデル
                                        (58)",Gクラス,1995年モデル,G63 (左ハンドル),AMG
G63 50th Anniversary Edition (3),1063〜1498万円,2220.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=37257/,"Gクラス 1995年モデル
                                        (58)",Gクラス,1995年モデル,G63 50th Anniversary Edition,AMG
G63 Exclusive Edition (3),1179〜1318万円,2300.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=44017/,"Gクラス 1995年モデル
                                        (58)",Gクラス,1995年モデル,G63 Exclusive Edition,AMG
G65 (1),2013万円,3900.0,5977cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=25739/,"Gクラス 1995年モデル
                                        (58)",Gクラス,1995年モデル,G65,AMG
GLC 43 4MATIC (7),935〜1103万円,1229.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42642/UCGrade=64648/,"GLCクラス 2024年モデル
                                        (35)",GLCクラス,2024年モデル,GLC 43 4MATIC,AMG
GLC 43 4MATIC Edition Dynamic+ (1),1550万円,1481.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42642/UCGrade=67127/,"GLCクラス 2024年モデル
                                        (35)",GLCクラス,2024年モデル,GLC 43 4MATIC Edition Dynamic+,AMG
GLC 63 S E PERFORMANCE (7),1259〜1547万円,1840.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42642/UCGrade=64649/,"GLCクラス 2024年モデル
                                        (35)",GLCクラス,2024年モデル,GLC 63 S E PERFORMANCE,AMG
GLC43 4MATIC (46),260〜807万円,1076.0,2996cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42015/UCGrade=35902/,"GLCクラス 2016年モデル
                                        (76)",GLCクラス,2016年モデル,GLC43 4MATIC,AMG
GLC63 4MATIC+ (5),455〜592万円,1333.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42015/UCGrade=44837/,"GLCクラス 2016年モデル
                                        (76)",GLCクラス,2016年モデル,GLC63 4MATIC+,AMG
GLC63 S 4MATIC+ (18),511〜1111万円,1526.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42015/UCGrade=44838/,"GLCクラス 2016年モデル
                                        (76)",GLCクラス,2016年モデル,GLC63 S 4MATIC+,AMG
GLC 43 4MATIC Coupe Edition Dynamic+ (1),1656万円,1528.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33272/Generation=42652/UCGrade=67128/,"GLCクラスクーペ 2024年モデル
                                        (7)",GLCクラスクーペ,2024年モデル,GLC 43 4MATIC Coupe Edition Dynamic+,AMG
GLC 63 S E PERFORMANCE Coupe (6),1270〜1988万円,1871.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33272/Generation=42652/UCGrade=65417/,"GLCクラスクーペ 2024年モデル
                                        (7)",GLCクラスクーペ,2024年モデル,GLC 63 S E PERFORMANCE Coupe,AMG
GLC43 4MATIC Coupe (22),394〜745万円,1169.0,2996cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33272/Generation=42072/UCGrade=36704/,"GLCクラスクーペ 2017年モデル
                                        (40)",GLCクラスクーペ,2017年モデル,GLC43 4MATIC Coupe,AMG
GLC63 S 4MATIC+ Coupe (18),534〜1034万円,1559.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33272/Generation=42072/UCGrade=44840/,"GLCクラスクーペ 2017年モデル
                                        (40)",GLCクラスクーペ,2017年モデル,GLC63 S 4MATIC+ Coupe,AMG
GLE 53 4MATIC+ (左ハンドル) (1),912.0万円,1510.0,2996cc,7,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=42355/UCGrade=52081/,"GLEクラス 2020年モデル
                                        (25)",GLEクラス,2020年モデル,GLE 53 4MATIC+ (左ハンドル),AMG
GLE 53 4MATIC (15),697〜1314万円,1740.0,2996cc,7,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=42355/UCGrade=52080/,"GLEクラス 2020年モデル
                                        (25)",GLEクラス,2020年モデル,GLE 53 4MATIC,AMG
GLE 63 S 4MATIC+ (6),1211〜2057万円,2395.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=42355/UCGrade=53914/,"GLEクラス 2020年モデル
                                        (25)",GLEクラス,2020年モデル,GLE 63 S 4MATIC+,AMG
GLE 63 S 4MATIC+ (左ハンドル) (3),1155〜1390万円,2395.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=42355/UCGrade=53915/,"GLEクラス 2020年モデル
                                        (25)",GLEクラス,2020年モデル,GLE 63 S 4MATIC+ (左ハンドル),AMG
GLE43 4MATIC (10),310〜439万円,1189.0,2996cc,5,4WD,9AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=41939/UCGrade=34730/,"GLEクラス 2015年モデル
                                        (12)",GLEクラス,2015年モデル,GLE43 4MATIC,AMG
GLE63 S 4MATIC (1),400.0万円,1794.0,5461cc,5,4WD,7AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=41939/UCGrade=33473/,"GLEクラス 2015年モデル
                                        (12)",GLEクラス,2015年モデル,GLE63 S 4MATIC,AMG
GT 63 4MATIC+ Coupe (20),2028〜2891万円,2783.0,3982cc,2,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=42646/UCGrade=64830/,"GT 2024年モデル
                                        (42)",GT,2024年モデル,GT 63 4MATIC+ Coupe,AMG
GT 43 Coupe (7),1366〜1829万円,1668.0,1991cc,4,FR,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=42646/UCGrade=66488/,"GT 2024年モデル
                                        (42)",GT,2024年モデル,GT 43 Coupe,AMG
GT 43 Coupe (左ハンドル) (6),1393〜1496万円,1668.0,1991cc,4,FR,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=42646/UCGrade=66489/,"GT 2024年モデル
                                        (42)",GT,2024年モデル,GT 43 Coupe (左ハンドル),AMG
GT (5),750〜1080万円,1767.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=32158/,"GT 2015年モデル
                                        (47)",GT,2015年モデル,GT,AMG
GT (左ハンドル) (5),838〜1512万円,1767.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=32159/,"GT 2015年モデル
                                        (47)",GT,2015年モデル,GT (左ハンドル),AMG
GT S (6),705〜975万円,2030.0,3982cc,2,FR,7DCT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=32160/,"GT 2015年モデル
                                        (47)",GT,2015年モデル,GT S,AMG
GT S (左ハンドル) (3),790〜1437万円,2030.0,3982cc,2,FR,7DCT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=32161/,"GT 2015年モデル
                                        (47)",GT,2015年モデル,GT S (左ハンドル),AMG
GT C (3),1659〜1751万円,2243.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=43659/,"GT 2015年モデル
                                        (47)",GT,2015年モデル,GT C,AMG
GT C Edition 50 (2),1449万円,2290.0,3982cc,2,FR,−,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=43660/,"GT 2015年モデル
                                        (47)",GT,2015年モデル,GT C Edition 50,AMG
GT R (6),1789〜2199万円,2453.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=42169/,"GT 2015年モデル
                                        (47)",GT,2015年モデル,GT R,AMG
GT R PRO (6),2674〜2731万円,2954.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=48455/,"GT 2015年モデル
                                        (47)",GT,2015年モデル,GT R PRO,AMG
