グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
A 35 4MATIC Edition 1 (14),307〜512万円,750.0,1991cc,5,4WD,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=49531/,"Aクラス 2019年モデル
                                        (93)",Aクラス,2019年モデル,A 35 4MATIC Edition 1,AMG
A 45 S 4MATIC+ Edition 1 (10),448〜698万円,807.0,1991cc,5,4WD,−,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=50150/,"Aクラス 2019年モデル
                                        (93)",Aクラス,2019年モデル,A 45 S 4MATIC+ Edition 1,AMG
A 45 S 4MATIC+ (37),475〜867万円,952.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=50149/,"Aクラス 2019年モデル
                                        (93)",Aクラス,2019年モデル,A 45 S 4MATIC+,AMG
A 45 S 4MATIC+ Edition 55 (3),758〜778万円,1055.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=60935/,"Aクラス 2019年モデル
                                        (93)",Aクラス,2019年モデル,A 45 S 4MATIC+ Edition 55,AMG
A 45 S 4MATIC+ Street Style Edition (1),1008万円,1085.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=64047/,"Aクラス 2019年モデル
                                        (93)",Aクラス,2019年モデル,A 45 S 4MATIC+ Street Style Edition,AMG
A 45 S 4MATIC+ Final Edition (7),1016〜1064万円,1150.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=66417/,"Aクラス 2019年モデル
                                        (93)",Aクラス,2019年モデル,A 45 S 4MATIC+ Final Edition,AMG
A 35 4MATIC (19),309〜776万円,776.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=49530/,"Aクラス 2019年モデル
                                        (93)",Aクラス,2019年モデル,A 35 4MATIC,AMG
A45 AMG 4MATIC (13),188〜332万円,685.0,1991cc,5,4WD,−,13km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=41701/UCGrade=27464/,"Aクラス 2013年モデル
                                        (56)",Aクラス,2013年モデル,A45 AMG 4MATIC,AMG
A45 4MATIC Edition (9),176〜308万円,710.0,1991cc,5,4WD,7DCT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=41701/UCGrade=27465/,"Aクラス 2013年モデル
                                        (56)",Aクラス,2013年モデル,A45 4MATIC Edition,AMG
A45 4MATIC (32),178〜364万円,720.0,1991cc,5,4WD,−,12km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=41701/UCGrade=33631/,"Aクラス 2013年モデル
                                        (56)",Aクラス,2013年モデル,A45 4MATIC,AMG
