グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
C63 S Edition1 (1),550.0万円,1420.0,3982cc,5,FR,7AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=33094/,"Cクラスセダン 2015年モデル
                                        (83)",Cクラスセダン,2015年モデル,C63 S Edition1,AMG
C63 S (14),439〜830万円,1455.0,3982cc,5,FR,9AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=32223/,"Cクラスセダン 2015年モデル
                                        (83)",Cクラスセダン,2015年モデル,C63 S,AMG
C63 S (左ハンドル) (2),521〜591万円,1455.0,3982cc,5,FR,9AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=32224/,"Cクラスセダン 2015年モデル
                                        (83)",Cクラスセダン,2015年モデル,C63 S (左ハンドル),AMG
C63 (7),200〜562万円,1116.0,6208cc,5,FR,7AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40958/UCGrade=21285/,"Cクラスセダン 2007年モデル
                                        (7)",Cクラスセダン,2007年モデル,C63,AMG
C32 (2),148〜175万円,913.0,−,−,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40957/UCGrade=21283/,"Cクラスセダン 2001年モデル
                                        (4)",Cクラスセダン,2001年モデル,C32,AMG
C55 (2),189〜195万円,966.0,5438cc,5,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40957/UCGrade=21284/,"Cクラスセダン 2001年モデル
                                        (4)",Cクラスセダン,2001年モデル,C55,AMG
CLA 45 S 4MATIC+ (26),498〜929万円,1062.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=50462/,"CLAクラス 2019年モデル
                                        (53)",CLAクラス,2019年モデル,CLA 45 S 4MATIC+,AMG
CLA 45 S 4MATIC+ Edition 55 (1),847.0万円,1128.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=60936/,"CLAクラス 2019年モデル
                                        (53)",CLAクラス,2019年モデル,CLA 45 S 4MATIC+ Edition 55,AMG
CLA 45 S 4MATIC+ Street Style Edition (2),898〜969万円,1186.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=64048/,"CLAクラス 2019年モデル
                                        (53)",CLAクラス,2019年モデル,CLA 45 S 4MATIC+ Street Style Edition,AMG
CLA 35 4MATIC (21),388〜822万円,866.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=51013/,"CLAクラス 2019年モデル
                                        (53)",CLAクラス,2019年モデル,CLA 35 4MATIC,AMG
CLA45 4MATIC (29),149〜328万円,798.0,1991cc,5,4WD,−,12km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=41704/UCGrade=28924/,"CLAクラス 2013年モデル
                                        (34)",CLAクラス,2013年モデル,CLA45 4MATIC,AMG
CLA 45 S 4MATIC+ Shooting Brake (27),454〜1037万円,1075.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=42314/UCGrade=50463/,"CLAクラスシューティングブレーク 2019年モデル
                                        (43)",CLAクラスシューティングブレーク,2019年モデル,CLA 45 S 4MATIC+ Shooting Brake,AMG
CLA 35 4MATIC シューティングブレーク (14),353〜814万円,876.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=42314/UCGrade=51014/,"CLAクラスシューティングブレーク 2019年モデル
                                        (43)",CLAクラスシューティングブレーク,2019年モデル,CLA 35 4MATIC シューティングブレーク,AMG
CLA45 4MATIC Shooting Brake (16),199〜313万円,814.0,1991cc,5,4WD,−,12km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=41901/UCGrade=33696/,"CLAクラスシューティングブレーク 2015年モデル
                                        (21)",CLAクラスシューティングブレーク,2015年モデル,CLA45 4MATIC Shooting Brake,AMG
CLA45 4MATIC Shooting Brake OrangeArt Edition (1),272.0万円,862.0,1991cc,5,4WD,−,12km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=41901/UCGrade=33107/,"CLAクラスシューティングブレーク 2015年モデル
                                        (21)",CLAクラスシューティングブレーク,2015年モデル,CLA45 4MATIC Shooting Brake OrangeArt Edition,AMG
CLS63 Shooting Brake Edition 1 (1),応談,1800.0,5461cc,5,FR,7AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31850/Generation=41612/UCGrade=26223/,"CLSクラスシューティングブレーク 2012年モデル
                                        (1)",CLSクラスシューティングブレーク,2012年モデル,CLS63 Shooting Brake Edition 1,AMG
G63 Edition Matt Black (7),1774〜2414万円,2363.0,3982cc,5,4WD,9AT,6km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=48711/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 Edition Matt Black,AMG
G63 STRONGER THAN TIME Edition (6),1590〜2290万円,2450.0,3982cc,5,4WD,9AT,6km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=51049/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 STRONGER THAN TIME Edition,AMG
G63 manufaktur Edition (13),1810〜2800万円,2480.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=52352/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 manufaktur Edition,AMG
G63 Edition 55 (3),2280〜2607万円,2750.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59932/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 Edition 55,AMG
