,グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
19,C63 STATIONWAGON (4),267〜702万円,1136.0,6208cc,5,FR,7AT,7.1km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=40960/UCGrade=21290/,"Cクラスステーションワゴン 2008年モデル
                                        (4)",Cクラスステーションワゴン,2008年モデル,C63 STATIONWAGON,AMG
20,C43 4MATIC (22),638〜1088万円,1281.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=60865/,"Cクラスセダン 2022年モデル
                                        (50)",Cクラスセダン,2022年モデル,C43 4MATIC,AMG
21,C43 4MATIC (左ハンドル) (7),815〜919万円,1281.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=60866/,"Cクラスセダン 2022年モデル
                                        (50)",Cクラスセダン,2022年モデル,C43 4MATIC (左ハンドル),AMG
22,C63 S E PERFORMANCE (11),932〜1372万円,1714.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=63934/,"Cクラスセダン 2022年モデル
                                        (50)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE,AMG
23,C63 S E PERFORMANCE (左ハンドル) (4),1190〜1366万円,1714.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=63935/,"Cクラスセダン 2022年モデル
                                        (50)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE (左ハンドル),AMG
24,C63 S E PERFORMANCE F1 Edition (2),1198〜1392万円,1835.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=64270/,"Cクラスセダン 2022年モデル
                                        (50)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE F1 Edition,AMG
25,C63 S E PERFORMANCE F1 Edition (左ハンドル) (1),1343万円,1835.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=64271/,"Cクラスセダン 2022年モデル
                                        (50)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE F1 Edition (左ハンドル),AMG
26,C450 AMG 4MATIC (3),351〜390万円,880.0,2996cc,5,4WD,7AT,12.0km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=33096/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C450 AMG 4MATIC,AMG
27,C43 4MATIC (51),220〜776万円,995.0,2996cc,5,4WD,9AT,9.7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=35527/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C43 4MATIC,AMG
28,C43 4MATIC (左ハンドル) (2),348〜505万円,995.0,2996cc,5,4WD,9AT,9.7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=35528/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C43 4MATIC (左ハンドル),AMG
