,グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
688,Limited (34),499〜724万円,855.0,3604cc,7,4WD,8AT,−,https://kakaku.com/kuruma/used/spec/Maker=64/Model=33456/Generation=42483/UCGrade=57434/,"グランドチェロキーL 2022年モデル
                                        (58)",グランドチェロキーL,2022年モデル,Limited,ジープ
689,Summit Reserve (24),719〜962万円,1060.0,3604cc,6,4WD,8AT,−,https://kakaku.com/kuruma/used/spec/Maker=64/Model=33456/Generation=42483/UCGrade=57435/,"グランドチェロキーL 2022年モデル
                                        (58)",グランドチェロキーL,2022年モデル,Summit Reserve,ジープ
690,XG (MT) (80),123〜294万円,165.0,658cc,4,4WD,5MT,17.1km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=42192/UCGrade=46080/,"ジムニー 2018年モデル
                                        (3382)",ジムニー,2018年モデル,XG (MT),スズキ
691,XG (51),161〜333万円,175.0,658cc,4,4WD,4AT,16.4km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=42192/UCGrade=46081/,"ジムニー 2018年モデル
                                        (3382)",ジムニー,2018年モデル,XG,スズキ
692,XL (MT) (149),124〜364万円,178.0,658cc,4,4WD,5MT,17.1km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=42192/UCGrade=46082/,"ジムニー 2018年モデル
                                        (3382)",ジムニー,2018年モデル,XL (MT),スズキ
693,XL (199),98〜300万円,187.0,658cc,4,4WD,4AT,16.4km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=42192/UCGrade=46083/,"ジムニー 2018年モデル
                                        (3382)",ジムニー,2018年モデル,XL,スズキ
694,XC (MT) (463),133〜450万円,190.0,658cc,4,4WD,5MT,17.1km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=42192/UCGrade=46084/,"ジムニー 2018年モデル
                                        (3382)",ジムニー,2018年モデル,XC (MT),スズキ
695,XC (2173),139〜450万円,200.0,658cc,4,4WD,4AT,16.4km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=42192/UCGrade=46085/,"ジムニー 2018年モデル
                                        (3382)",ジムニー,2018年モデル,XC,スズキ
696,クロスアドベンチャー XA (MT) (5),29〜119万円,114.0,658cc,4,4WD,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21475/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,クロスアドベンチャー XA (MT),スズキ
697,クロスアドベンチャー XC (MT) (50),44〜149万円,152.0,658cc,4,4WD,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21476/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,クロスアドベンチャー XC (MT),スズキ
698,クロスアドベンチャー (MT) (89),63〜180万円,156.0,658cc,4,4WD,5MT,14.8km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=25114/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,クロスアドベンチャー (MT),スズキ
699,クロスアドベンチャー XC (117),39〜163万円,163.0,658cc,4,4WD,4AT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21477/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,クロスアドベンチャー XC,スズキ
700,クロスアドベンチャー (176),43〜178万円,167.0,658cc,4,4WD,4AT,13.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=25115/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,クロスアドベンチャー,スズキ
701,XG (MT) (115),30〜185万円,129.0,658cc,4,4WD,5MT,14.8km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=23109/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,XG (MT),スズキ
702,XG (187),25〜194万円,140.0,658cc,4,4WD,4AT,13.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=23110/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,XG,スズキ
703,XC (MT) (70),35〜187万円,151.0,658cc,4,4WD,5MT,14.8km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=23111/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,XC (MT),スズキ
704,XC (129),29〜200万円,162.0,658cc,4,4WD,4AT,13.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=23112/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,XC,スズキ
705,FISフリースタイルワールドカップリミテッド (MT) (11),46〜104万円,149.0,658cc,−,4WD,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21468/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,FISフリースタイルワールドカップリミテッド (MT),スズキ
706,FISフリースタイルワールドカップリミテッド (39),17〜109万円,159.0,658cc,−,4WD,4AT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21469/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,FISフリースタイルワールドカップリミテッド,スズキ
707,ランドベンチャー (MT) (242),28〜212万円,158.0,658cc,4,4WD,5MT,14.8km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21470/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,ランドベンチャー (MT),スズキ
708,ランドベンチャー (526),29〜230万円,169.0,658cc,4,4WD,4AT,13.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21471/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,ランドベンチャー,スズキ
709,ワイルドウインド (MT) (63),32〜146万円,152.0,658cc,4,4WD,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21472/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,ワイルドウインド (MT),スズキ
710,ワイルドウインド (155),29〜212万円,163.0,658cc,4,4WD,4AT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21473/,"ジムニー 1998年モデル
                                        (2640)",ジムニー,1998年モデル,ワイルドウインド,スズキ
711,JL (MT) (49),177〜509万円,196.0,1460cc,4,4WD,5MT,16.4km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=42193/UCGrade=46086/,"ジムニーシエラ 2018年モデル
                                        (1243)",ジムニーシエラ,2018年モデル,JL (MT),スズキ
712,JL (48),184〜366万円,206.0,1460cc,4,4WD,4AT,15.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=42193/UCGrade=46087/,"ジムニーシエラ 2018年モデル
                                        (1243)",ジムニーシエラ,2018年モデル,JL,スズキ
713,JC (MT) (192),163〜518万円,208.0,1460cc,4,4WD,5MT,16.4km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=42193/UCGrade=46088/,"ジムニーシエラ 2018年モデル
                                        (1243)",ジムニーシエラ,2018年モデル,JC (MT),スズキ
714,JC (936),171〜502万円,218.0,1460cc,4,4WD,4AT,15.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=42193/UCGrade=46089/,"ジムニーシエラ 2018年モデル
                                        (1243)",ジムニーシエラ,2018年モデル,JC,スズキ
715,ベースグレード (MT) (7),90〜162万円,166.0,1328cc,4,4WD,5MT,13.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15239/,"ジムニーシエラ 2002年モデル
                                        (82)",ジムニーシエラ,2002年モデル,ベースグレード (MT),スズキ
716,ベースグレード (8),49〜190万円,177.0,1328cc,4,4WD,4AT,12.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15238/,"ジムニーシエラ 2002年モデル
                                        (82)",ジムニーシエラ,2002年モデル,ベースグレード,スズキ
717,ワイルドウインド (MT) 4WD (2),89〜119万円,163.0,1328cc,4,4WD,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15241/,"ジムニーシエラ 2002年モデル
                                        (82)",ジムニーシエラ,2002年モデル,ワイルドウインド (MT) 4WD,スズキ
718,ワイルドウインド 4WD (1),125.0万円,174.0,1328cc,4,4WD,4AT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15242/,"ジムニーシエラ 2002年モデル
                                        (82)",ジムニーシエラ,2002年モデル,ワイルドウインド 4WD,スズキ
719,ランドベンチャー (MT) 4WD (13),102〜208万円,175.0,1328cc,4,4WD,5MT,13.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15243/,"ジムニーシエラ 2002年モデル
                                        (82)",ジムニーシエラ,2002年モデル,ランドベンチャー (MT) 4WD,スズキ
720,ランドベンチャー 4WD (31),85〜260万円,186.0,1328cc,4,4WD,4AT,12.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15244/,"ジムニーシエラ 2002年モデル
                                        (82)",ジムニーシエラ,2002年モデル,ランドベンチャー 4WD,スズキ
721,クロスアドベンチャー (MT) 4WD (2),98〜145万円,165.0,1328cc,4,4WD,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15248/,"ジムニーシエラ 2002年モデル
                                        (82)",ジムニーシエラ,2002年モデル,クロスアドベンチャー (MT) 4WD,スズキ
722,クロスアドベンチャー 4WD (3),97〜141万円,176.0,1328cc,4,4WD,4AT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15249/,"ジムニーシエラ 2002年モデル
                                        (82)",ジムニーシエラ,2002年モデル,クロスアドベンチャー 4WD,スズキ
723,クロスアドベンチャー (4),90〜207万円,182.0,1328cc,4,4WD,4AT,12.6km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=25117/,"ジムニーシエラ 2002年モデル
                                        (82)",ジムニーシエラ,2002年モデル,クロスアドベンチャー,スズキ
3307,FC (48),377～429万円,3307,1460cc,4,4WD,4AT,-,https://kakaku.com/kuruma/used/spec/Maker=7/Model=33575/Generation=42691/UCGrade=66851/,"ジムニー ノマド 2025年モデル
                                        (48)",ジムニーノマド,2025年モデル,FC,スズキ
724,1.8 GT (5),250〜292万円,310.0,1795cc,5,4WD,CVT,16.6km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53057/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,1.8 GT,スバル
725,1.8 GT-H (12),208〜315万円,332.0,1795cc,5,4WD,CVT,16.5km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53059/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,1.8 GT-H,スバル
726,1.8 Smart Edition(アイサイトX無) (1),318.2万円,343.0,1795cc,5,4WD,CVT,16.5km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63022/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,1.8 Smart Edition(アイサイトX無),スバル
727,1.8 GT EX (44),222〜314万円,348.0,1795cc,5,4WD,CVT,16.6km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53058/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,1.8 GT EX,スバル
728,1.8 Smart Edition EX (2),328〜364万円,363.0,1795cc,5,4WD,CVT,16.5km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63946/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,1.8 Smart Edition EX,スバル
729,1.8 STI Sport (12),225〜379万円,376.0,1795cc,5,4WD,CVT,16.5km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53061/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,1.8 STI Sport,スバル
730,1.8 GT-H EX (166),223〜364万円,379.0,1795cc,5,4WD,CVT,16.5km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53060/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,1.8 GT-H EX,スバル
731,1.8 STI Sport EX (359),212〜9999万円,441.0,1795cc,5,4WD,CVT,16.5km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53062/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,1.8 STI Sport EX,スバル
732,1.8 STI Sport EX Black Interior Selection (17),389〜9999万円,441.0,1795cc,5,4WD,CVT,16.5km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63948/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,1.8 STI Sport EX Black Interior Selection,スバル
733,2.4 STI Sport R (3),299〜359万円,444.0,2387cc,5,4WD,CVT,13.1km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=57328/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,2.4 STI Sport R,スバル
734,2.4 STI Sport R EX (82),234〜567万円,509.0,2387cc,5,4WD,CVT,13.1km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=57329/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,2.4 STI Sport R EX,スバル
735,2.4 STI Sport R EX Black Interior Selection (5),377〜465万円,509.0,2387cc,5,4WD,CVT,13.1km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63950/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,2.4 STI Sport R EX Black Interior Selection,スバル
736,STI Sport♯ (6),470〜575万円,576.0,2387cc,5,4WD,CVT,13.1km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63498/,"レヴォーグ 2020年モデル
                                        (747)",レヴォーグ,2020年モデル,STI Sport♯,スバル
737,1.6GT (6),79〜152万円,266.0,1599cc,5,4WD,CVT,17.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29258/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6GT,スバル
738,1.6GT EyeSight Proud Edition (37),50〜179万円,286.0,1599cc,5,4WD,CVT,17.6km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=32938/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6GT EyeSight Proud Edition,スバル
739,1.6GT EyeSight (164),53〜9999万円,291.0,1599cc,5,4WD,CVT,16.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29259/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6GT EyeSight,スバル
740,1.6GT EyeSight S-style (82),62〜213万円,292.0,1599cc,5,4WD,CVT,16.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=31435/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6GT EyeSight S-style,スバル
741,1.6GT-S EyeSight Proud Edition (20),68〜174万円,299.0,1599cc,5,4WD,CVT,17.6km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=32939/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6GT-S EyeSight Proud Edition,スバル
742,1.6GT EyeSight Smart Edition (45),72〜221万円,300.0,1599cc,5,4WD,CVT,16.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=35815/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6GT EyeSight Smart Edition,スバル
743,1.6GT EyeSight V-SPORT (23),158〜274万円,313.0,1599cc,5,4WD,CVT,16.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=47973/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6GT EyeSight V-SPORT,スバル
744,1.6GT-S EyeSight (426),59〜9999万円,313.0,1599cc,5,4WD,CVT,16.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29260/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6GT-S EyeSight,スバル
745,1.6GT-S EyeSight Advantage Line (5),189〜9999万円,341.0,1599cc,5,4WD,CVT,16.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=48782/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6GT-S EyeSight Advantage Line,スバル
746,1.6STI Sport EyeSight (130),138〜282万円,363.0,1599cc,5,4WD,CVT,16.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=35047/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6STI Sport EyeSight,スバル
747,1.6STI Sport EyeSight Black Selection (14),200〜289万円,363.0,1599cc,5,4WD,CVT,16.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=48780/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,1.6STI Sport EyeSight Black Selection,スバル
748,2.0GT EyeSight (21),65〜224万円,334.0,1998cc,5,4WD,CVT,13.2km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29261/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,2.0GT EyeSight,スバル
749,2.0GT EyeSight V-SPORT (10),168〜274万円,346.0,1998cc,5,4WD,CVT,13.2km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=50212/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,2.0GT EyeSight V-SPORT,スバル
750,2.0GT-S EyeSight (137),68〜269万円,368.0,1998cc,5,4WD,CVT,13.2km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29262/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,2.0GT-S EyeSight,スバル
751,2.0STI Sport EyeSight (104),89〜428万円,412.0,1998cc,5,4WD,CVT,13.2km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=35048/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,2.0STI Sport EyeSight,スバル
752,2.0STI Sport EyeSight Black Selection (8),189〜328万円,412.0,1998cc,5,4WD,CVT,13.2km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=48781/,"レヴォーグ 2014年モデル
                                        (1275)",レヴォーグ,2014年モデル,2.0STI Sport EyeSight Black Selection,スバル
753,R (MT) (39),210〜348万円,332.0,2387cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56082/,"BRZ 2021年モデル
                                        (255)",BRZ,2021年モデル,R (MT),スバル
754,R (25),188〜302万円,335.0,2387cc,4,FR,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56081/,"BRZ 2021年モデル
                                        (255)",BRZ,2021年モデル,R,スバル
755,S 10th Anniversary Limited (MT) (2),329〜349万円,338.0,2387cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=59911/,"BRZ 2021年モデル
                                        (255)",BRZ,2021年モデル,S 10th Anniversary Limited (MT),スバル
756,S (MT) (108),240〜390万円,350.0,2387cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56084/,"BRZ 2021年モデル
                                        (255)",BRZ,2021年モデル,S (MT),スバル
757,S (53),225〜378万円,354.0,2387cc,4,FR,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56083/,"BRZ 2021年モデル
                                        (255)",BRZ,2021年モデル,S,スバル
758,STI Sport (MT) (8),294〜399万円,378.0,2387cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=63561/,"BRZ 2021年モデル
                                        (255)",BRZ,2021年モデル,STI Sport (MT),スバル
759,STI Sport (5),309〜432万円,381.0,2387cc,4,FR,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=63560/,"BRZ 2021年モデル
                                        (255)",BRZ,2021年モデル,STI Sport,スバル
760,RA (7),126〜234万円,212.0,1998cc,4,FR,6MT,13.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24616/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,RA,スバル
761,R Customize Package (MT) (6),179〜228万円,247.0,1998cc,4,FR,6MT,11.8km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=30760/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,R Customize Package (MT),スバル
762,R (MT) (37),99〜249万円,272.0,1998cc,4,FR,6MT,11.8km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24617/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,R (MT),スバル
763,R (13),74〜183万円,278.0,1998cc,4,FR,6AT,12.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24618/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,R,スバル
764,RA Racing (3),159〜168万円,298.0,1998cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=29330/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,RA Racing,スバル
765,S (MT) (165),105〜300万円,302.0,1998cc,4,FR,6MT,11.8km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24619/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,S (MT),スバル
766,S (105),75〜230万円,308.0,1998cc,4,FR,6AT,12.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24620/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,S,スバル
767,STI Sport Cool gray khaki Edition (1),356.7万円,353.0,1998cc,4,FR,6MT,11.6km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=43697/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,STI Sport Cool gray khaki Edition,スバル
768,STI Sport (MT) (21),183〜328万円,359.0,1998cc,4,FR,6MT,11.6km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=43695/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,STI Sport (MT),スバル
769,STI Sport (15),157〜294万円,365.0,1998cc,4,FR,6AT,11.8km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=43696/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,STI Sport,スバル
770,Premium Sport Package (MT) (4),129〜195万円,312.0,1998cc,4,FR,6MT,12.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=28973/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,Premium Sport Package (MT),スバル
771,Premium Sport Package (2),89〜179万円,320.0,1998cc,4,FR,6AT,12.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=28974/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,Premium Sport Package,スバル
772,GT (MT) (26),175〜309万円,337.0,1998cc,4,FR,6MT,11.8km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=35224/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,GT (MT),スバル
773,GT (11),158〜257万円,343.0,1998cc,4,FR,6AT,12.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=35223/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,GT,スバル
774,GT PACKAGE (MT) (5),199〜289万円,441.0,1998cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=27701/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,GT PACKAGE (MT),スバル
775,tS (MT) (8),169〜295万円,399.0,1998cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=27699/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,tS (MT),スバル
776,tS (5),169〜288万円,407.0,1998cc,4,FR,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=27700/,"BRZ 2012年モデル
                                        (445)",BRZ,2012年モデル,tS,スバル
777,GT-H (4),315〜361万円,400.0,2387cc,5,4WD,CVT,12.7km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57308/,"WRXS4 2021年モデル
                                        (106)",WRXS4,2021年モデル,GT-H,スバル
778,GT-H EX (15),335〜395万円,447.0,2387cc,5,4WD,CVT,12.7km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57309/,"WRXS4 2021年モデル
                                        (106)",WRXS4,2021年モデル,GT-H EX,スバル
779,STI Sport R (3),330〜390万円,444.0,2387cc,5,4WD,CVT,12.7km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57310/,"WRXS4 2021年モデル
                                        (106)",WRXS4,2021年モデル,STI Sport R,スバル
780,STI Sport R EX (65),319〜519万円,502.0,2387cc,5,4WD,CVT,12.7km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57311/,"WRXS4 2021年モデル
                                        (106)",WRXS4,2021年モデル,STI Sport R EX,スバル
781,2.0GT EyeSight (57),103〜272万円,343.0,1998cc,5,4WD,CVT,13.2km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=29720/,"WRXS4 2014年モデル
                                        (327)",WRXS4,2014年モデル,2.0GT EyeSight,スバル
782,2.0GT-S EyeSight (175),99〜449万円,380.0,1998cc,5,4WD,CVT,12.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=29721/,"WRXS4 2014年モデル
                                        (327)",WRXS4,2014年モデル,2.0GT-S EyeSight,スバル
